156*Pursuit Of Happiness (Nightmare)*Kid Cudi, MGMT, Ratatat*245,794
157*You Right*Doja Cat, The Weeknd*245,592
158*Beer Never Broke My Heart*Luke Combs*244,103
159*Sweet Home Alabama*Lynyrd Skynyrd*243,889
160*Space Song*Beach House*242,441
161*Easy On Me*Adele*242,428
162*Work Out*J. Cole*240,632
163*Redbone*Childish Gambino*239,771
164*Forever After All*Luke Combs*239,375
165*Numb Little Bug*Em Beihold*239,231
166*Notion*The Rare Occasions*239,033
167*It Was A Good Day*Ice Cube*238,966
168*Savior*Kendrick Lamar, Baby Keem, Sam Dew*238,898
169*All Girls Are The Same*Juice WRLD*238,727
170*Save Your Tears*The Weeknd*237,537
171*Love Sosa*Chief Keef*237,296
172*pushin P (feat. Young Thug)*Gunna, Future*235,721
173*See Wat I’m Sayin*Moneybagg Yo*235,526
174*"Ni**as In Paris"*JAY-Z, Kanye West*234,970
175*Ain't Shit*Doja Cat*234,812
176*Beautiful Crazy*Luke Combs*234,638
177*Brown Eyed Girl*Van Morrison*234,248
178*Smells Like Teen Spirit - Remastered*Nirvana*233,283
179*Passionfruit*Drake*232,010
180*Fair Trade (with Travis Scott)*Drake*230,447
181*Riptide*Vance Joy*229,755
182*Churchill Downs (feat. Drake)*Jack Harlow*229,411
183*Nail Tech*Jack Harlow*229,243
184*HUMBLE.*Kendrick Lamar*228,981
185*Good Days*SZA*228,821
186*Martin & Gina*Polo G*228,457
187*Sleazy Flow (with Lil Baby) - Remix*SleazyWorld Go*227,778
188*Meet Me At Our Spot*THE ANXIETY, WILLOW, Tyler Cole*226,158
189*Way 2 Sexy (with Future & Young Thug)*Drake*225,980
190*Hotel California - 2013 Remaster*Eagles*225,892
191*LOVE. FEAT. ZACARI.*Kendrick Lamar*225,759
192*The Real Slim Shady*Eminem*225,561
193*Father Stretch My Hands Pt. 1*Kanye West*225,063
194*House of Memories*Panic! At The Disco*225,024
195*Brazil*Declan McKenna*224,949
196*Fuck Love (feat. Trippie Redd)*XXXTENTACION*223,552
197*AA*Walker Hayes*223,528
198*Sky*Playboi Carti*223,332
199*Right On*Lil Baby*222,906
200*Drip Too Hard (Lil Baby & Gunna)*Lil Baby*222,853
